concept_a,concept_b,source_syllabus,Course_Code,course_name,order_delta,domain_match,embedding_similarity,keyword_overlap,ai_suggested_label
Mesh and Nodal,Single Phase Transformer: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,9,1,0.1186,0.0,0
Mesh and Nodal,Transformer losses,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,10,1,0.063,0.0,0
Mesh and Nodal,Single-Phase induction motors,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,11,1,0.0782,0.0,0
Mesh and Nodal,Special Purpose Diodes: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,12,1,0.106,0.0,0
Mesh and Nodal,Introduction to Transistors: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,13,1,0.1098,0.0,0
Analysis (no super node and super mesh) Star-Delta /,Delta-Star Transformations,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,1,1,0.5966,0.2222,1
Analysis (no super node and super mesh) Star-Delta /,Thevenin’s Theorem,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,2,1,0.0843,0.0,0
Analysis (no super node and super mesh) Star-Delta /,Maximum Power Transfer Theorem,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,3,1,0.1129,0.0,0
Analysis (no super node and super mesh) Star-Delta /,AC Circuits: Generation of alternating voltage,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,4,1,-0.0009,0.0,0
Analysis (no super node and super mesh) Star-Delta /,Single-phase ac series,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,5,1,0.1483,0.0,0
Analysis (no super node and super mesh) Star-Delta /,RLC combinations,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,6,1,0.0157,0.0,0
Analysis (no super node and super mesh) Star-Delta /,Series and parallel,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,7,1,0.1179,0.1,0
Analysis (no super node and super mesh) Star-Delta /,Single Phase Transformer: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,8,1,0.142,0.0,0
Analysis (no super node and super mesh) Star-Delta /,Transformer losses,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,9,1,0.0472,0.0,0
Analysis (no super node and super mesh) Star-Delta /,Single-Phase induction motors,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,10,1,0.0145,0.0,0
Analysis (no super node and super mesh) Star-Delta /,Special Purpose Diodes: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,11,1,0.0969,0.0,0
Analysis (no super node and super mesh) Star-Delta /,Introduction to Transistors: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,12,1,0.1385,0.0,0
Delta-Star Transformations,Thevenin’s Theorem,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,1,1,0.0964,0.0,0
Delta-Star Transformations,Maximum Power Transfer Theorem,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,2,1,0.0988,0.0,0
Delta-Star Transformations,AC Circuits: Generation of alternating voltage,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,3,1,0.0306,0.0,0
Delta-Star Transformations,Single-phase ac series,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,4,1,0.1581,0.0,0
Delta-Star Transformations,RLC combinations,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,5,1,0.0863,0.0,0
Delta-Star Transformations,Series and parallel,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,6,1,0.0908,0.0,0
Delta-Star Transformations,Single Phase Transformer: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,7,1,0.2168,0.0,0
Delta-Star Transformations,Transformer losses,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,8,1,0.2051,0.0,0
Delta-Star Transformations,Single-Phase induction motors,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,9,1,0.0699,0.0,0
Delta-Star Transformations,Special Purpose Diodes: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,10,1,0.1204,0.0,0
Delta-Star Transformations,Introduction to Transistors: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,11,1,0.0989,0.0,0
Thevenin’s Theorem,Maximum Power Transfer Theorem,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,1,1,0.2807,0.1667,0
Thevenin’s Theorem,AC Circuits: Generation of alternating voltage,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,2,1,0.1226,0.0,0
Thevenin’s Theorem,Single-phase ac series,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,3,1,0.1501,0.0,0
Thevenin’s Theorem,RLC combinations,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,4,1,0.1016,0.0,0
